Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
105	3915	0.015341	0.21498000621795654	3810	0.199639	17	404617	9074449	results/01_atlas/I0048	results/01_atlas/I0013
5254	7027	0.29152700304985046	0.38093098998069763	1773	0.08940398693084717	17	11316401	14492388	results/01_atlas/I0048	results/01_atlas/I0013
12000	16028	0.5626999735832214	0.6951329708099365	4028	0.1324329972267151	17	33824903	47477635	results/01_atlas/I0048	results/01_atlas/I0013
16810	19942	0.7341560125350952	0.829666018486023	3132	0.09551000595092773	17	49695387	57303589	results/01_atlas/I0048	results/01_atlas/I0013
23268	26299	0.9602239727973938	1.0959969758987427	3031	0.13577300310134888	17	68029740	74189717	results/01_atlas/I0048	results/01_atlas/I0013
102	11942	0.015122	0.5591899752616882	11840	0.544068	17	398107	33670803	results/01_atlas/I0048	FAM001_ID001
12334	16327	0.581155002117157	0.7138890027999878	3993	0.1327340006828308	17	35018201	48336448	results/01_atlas/I0048	FAM001_ID001
22420	26365	0.9230589866638184	1.0982459783554077	3945	0.17518699169158936	17	65580271	74373646	results/01_atlas/I0048	FAM001_ID001
104	2211	0.01527	0.13204799592494965	2107	0.116777994	17	402843	5602894	results/01_atlas/I0013	FAM001_ID001
3970	6659	0.22047999501228333	0.3647480010986328	2689	0.1442680060863495	17	9159150	13892598	results/01_atlas/I0013	FAM001_ID001
7034	8568	0.38344699144363403	0.4480839967727661	1534	0.06463700532913208	17	14507158	19587346	results/01_atlas/I0013	FAM001_ID001
11283	16045	0.5365880131721497	0.6955739855766296	4762	0.15898597240447998	17	32487334	47515352	results/01_atlas/I0013	FAM001_ID001
16316	21722	0.7137839794158936	0.8982300162315369	5406	0.1844460368156433	17	48316612	64095247	results/01_atlas/I0013	FAM001_ID001
23759	26765	0.9758039712905884	1.119493007659912	3006	0.14368903636932373	17	69071811	75218008	results/01_atlas/I0013	FAM001_ID001
28018	28983	1.202051043510437	1.2733319997787476	965	0.07128095626831055	17	77422650	80191425	results/01_atlas/I0013	FAM001_ID001
